,Index,Company Name,Symbol,Sector,Industry
1500,2532,Manulife Fin Sr 5 Pr,MFC.PR.G,Financial Services,Insurance - Life
1501,2533,Manulife Fin Sr 7 Pr,MFC.PR.H,Financial Services,Insurance - Life
1502,2534,Manulife Fin Sr 9 Pr,MFC.PR.I,Financial Services,Insurance - Life
1503,2535,Manulife Fin Sr11 Pr,MFC.PR.J,Financial Services,Insurance - Life
1504,2536,Manulife Fin Sr13 Pr,MFC.PR.K,Financial Services,Insurance - Life
1505,2537,Manulife Fin Sr15 Pr,MFC.PR.L,Financial Services,Insurance - Life
1506,2538,Manulife Fin Sr17 Pr,MFC.PR.M,Financial Services,Insurance - Life
1507,2539,Manulife Fin Sr19 Pr,MFC.PR.N,Financial Services,Insurance - Life
1508,2540,Manulife Fin Sr21 Pr,MFC.PR.O,Financial Services,Insurance - Life
1509,2541,Manulife Fin Sr 4 Pr,MFC.PR.P,Financial Services,Insurance - Life
1510,2542,Manulife Fin Sr25 Pr,MFC.PR.Q,Financial Services,Insurance - Life
1511,2543,Manulife Fin Sr23 Pr,MFC.PR.R,Financial Services,Insurance - Life
1512,2545,Manulife FltgRtLn Un,MFR.UN,Financial Services,Asset Management
1513,2547,Manulfe MltCdnLrgUnh,MCLC,,
1514,2549,ManulfMultfCdSMID Un,MCSM,,
1515,2551,Manulfe MltDevInt Un,MINT,,
1516,2552,Manulfe MltDevIntUnh,MINT.B,,
1517,2554,Manulife Emrg MktsUn,MEME.B,,
1518,2556,Manulfe MltUSLrgCpHg,MULC,,
1519,2557,Manulf MltUSLrgCpUnh,MULC.B,,
1520,2559,Manulfe MultUS MidHg,MUMC,,
1521,2560,Manulfe MultUSMdUnhg,MUMC.B,,
1522,2562,Manulf US SmallCapUn,MUSC,,
1523,2563,ManulfUSSmallCap U-H,MUSC.B,,
1524,2565,Manulife US Regnl Un,MBK.UN,Financial Services,Asset Management
1525,2567,Maple Leaf Foods Inc,MFI,Consumer Defensive,Consumer Packaged Goods
1526,2569,Marathon Gold Corp J,MOZ,Basic Materials,Metals & Mining
1527,2571,Martinrea Int'l Inc.,MRE,Consumer Cyclical,Autos
1528,2573,MAV Beauty Brands,MAV,Consumer Defensive,Consumer Packaged Goods
1529,2575,Mawson Resources J,MAW,Basic Materials,Metals & Mining
1530,2577,Maxar Technologies,MAXR,Technology,Communication Equipment
1531,2579,Maxim Power Corp.,MXG,Utilities,Utilities - Independent Power Producers
1532,2581,Maya Gold & Silvr J,MYA,Basic Materials,Metals & Mining
1533,2583,MBN Corporation Eqty,MBN,Financial Services,Asset Management
1534,2585,MCAN Mortgage Corp.,MKP,Financial Services,Banks
1535,2587,McCoy Global Inc.,MCB,Energy,Oil & Gas - Services
1536,2589,McEwen Mining Inc. J,MUX,Basic Materials,Metals & Mining
1537,2591,Mediagrif Interactv,MDF,Technology,Online Media
1538,2593,Medical Facilities,DR,Healthcare,Health Care Providers
1539,2594,Medical Fac 5.9% Deb,DR.DB.A,Healthcare,Health Care Providers
1540,2596,Medicenna Therapeu J,MDNA,Healthcare,Biotechnology
1541,2598,MEG Energy Corp.,MEG,Energy,Oil & Gas - E&P
1542,2600,Mega Uranium Ltd. J,MGA,Basic Materials,Metals & Mining
1543,2602,Melcor Developments,MRD,Real Estate,Real Estate Services
1544,2604,Melcor REIT 5.5 Deb,MR.DB,Real Estate,REITs
1545,2605,Melcor REIT 5.25% Db,MR.DB.A,nan,nan
1546,2606,Melcor REIT Un,MR.UN,Real Estate,REITs
1547,2608,Methanex Corporation,MX,Basic Materials,Chemicals
1548,2610,Metro Inc.,MRU,Consumer Defensive,Retail - Defensive
1549,2612,Microbix Biosystms J,MBX,Healthcare,Biotechnology
1550,2614,Midas Gold Corp. J,MAX,Basic Materials,Metals & Mining
1551,2616,Middlefld AmerCoreUn,ACZ,,
1552,2618,Middlefld Can-Glb Un,RCO.UN,Real Estate,REITs
1553,2620,Middlefield HealthUn,HWF,nan,nan
1554,2622,Middlefld Hlth&LfeUn,LS,,
1555,2624,Middlefld REIT INDX+,IDR,,
1556,2626,Minco Silver Corp J,MSV,Basic Materials,Metals & Mining
1557,2628,MINT Incme Fnd Tr Un,MID.UN,Financial Services,Asset Management
1558,2630,Minto Apart REIT Un,MI.UN,Real Estate,REITs
